HFA ID,Address,Building Units,Owner Name,HUD LIHTC ID,BBL / Parcel ID,BIN (NYC DOB),Census Tract (2020),Assembly District,State Senate District,Congressional District,latitude,longitude,Property name,Total Project Units,Number of buildings in project,Management name,Contact address,Contact phone,Contact email,County,New Construction / Rehab,Placed-in-Service date,Floodplain 100-yr / 500-yr flag,School district name,School district SDL code,x,y
1276,"400 East 84th Street, New York, 10028",180,400 East 84th Street,NY-98-90001,1015630004,1085139,36061013604,76,28,12,40.775247,-73.950151,400 East 84th Street (The Strathmore),180,1,,,,,New York,New Construction,3/31/1997,Not in floodplain,NYC GEOG DIST # 2 - MANHATTAN,310200,588593.8891735944,4514337.961165237
1278,"225 East 6th Street, New York, 10003",86,225 East 6th LLC,NY-97-90033,1004620035,1084755,36061003800,66,27,10,40.727931,-73.989661,Village East,86,1,ABRO Management,,,,New York,New Construction,10/29/1997,Not in floodplain,NYC GEOG DIST # 1 - MANHATTAN,310100,585320.1624305417,4509046.387628575
1358,"100 OLD HARBOR DR, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90001,,NA,36091062409,112,44,20,42.84038888,-73.73750021,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,3/31/1998,Not in floodplain,SHENENDEHOWA CSD,520302,603170.8778409107,4743863.456726893
1358,"200 LOOKOUT LN, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90002,,NA,36091062409,112,44,20,42.84136922,-73.73781681,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,2/24/1998,Not in floodplain,SHENENDEHOWA CSD,520302,603143.374164993,4743971.933157884
1358,"300 OLD HARBOR DR, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90003,,NA,36091062409,112,44,20,42.84103066,-73.73775262,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,3/31/1998,Not in floodplain,SHENENDEHOWA CSD,520302,603149.1830044335,4743934.415578328
1358,"400 LOOKOUT LN, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90004,,NA,36091062409,112,44,20,42.84147086,-73.73819505,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,2/24/1998,Not in floodplain,SHENENDEHOWA CSD,520302,603112.2956315468,4743982.7569973115
1358,"500 OLD HARBOR DR, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90005,,NA,36091062409,112,44,20,42.84142238,-73.73765349,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,4/30/1998,Not in floodplain,SHENENDEHOWA CSD,520302,603156.6321000097,4743978.036396134
1358,"600 SCHOONER CT, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90006,,NA,36091062409,112,44,20,42.84214398,-73.73963374,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,2/1/1998,Not in floodplain,SHENENDEHOWA CSD,520302,602993.6089139613,4744055.745304009
1358,"1000 SCHOONER CT, HALFMOON, 12065",12,"Plant Road Associates, LP",NY-99-90010,,NA,36091062409,112,44,20,42.84169389,-73.7408595,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,12/14/1997,Not in floodplain,SHENENDEHOWA CSD,520302,602894.1889945959,4744004.266228359
1358,"1100 OLD HARBOR DR, HALFMOON, 12065",8,"Plant Road Associates, LP",NY-99-90011,,NA,36091062409,112,44,20,42.84227409,-73.73731695,Landings,240,21,Cambridge Management,,,,Saratoga,New Construction,6/4/1998,Not in floodplain,SHENENDEHOWA CSD,520302,603182.7163285778,4744073.028622535
