Project Name,Address,SAMIS Project ID,Building ID,Management name,BIN (NYC DOB),Floodplain,Tract GEOID (2020 Census),School district,School district SDL code,Latitude,Longitude,County,Total project units,Owner name,Number of bldgs in project,Building units,Date in service,Construction Type (New / Rehab),Tax Parcel Print Key,Congressional District (current),Assembly District (current),State Senate District (current),x,y
,"119 ROCKEFELLER RD, BETHLEHEM, 12054",19901073-01082,0000290,GOOD SAM. LUTHERN HEALTH CARE CENTER,NA (Outside NYC),,36001014201,BETHLEHEM CSD,10306,42.62695809,-73.80164506,ALBANY,36,GOOD SAMARITAN NURSING HOME INC.,1,36,5/31/1990,NEW,86.11-1-1.20,20,107,46,598265.3580938296,4720086.462474609
,"11 HORICON AVE, WARRENSBURG, 12885",19900938-01230,0001929,NORTH COUNTRY MINISTRY,NA (Outside NYC),,36113073000,WARRENSBURG CSD,631201,43.49141473,-73.76547981,WARREN,3,LAKE COUNTRY HOUSING CORP.,2,2,6/6/1991,REHAB,211.18-1-38,21,114,45,599818.5154719548,4816128.094432183
,"11 HORICON AVE, WARRENSBURG, 12885",19900938-01230,0015061,NORTH COUNTRY MINISTRY,NA (Outside NYC),,36113073000,WARRENSBURG CSD,631201,43.49141473,-73.76547981,WARREN,3,LAKE COUNTRY HOUSING CORP.,2,1,6/6/1991,REHAB,211.18-1-38,21,114,45,599818.5154719548,4816128.094432183
1006-08 KENSINGTON,"1008 KENSINGTON AVE, BUFFALO, 14215",19900987-01234,0001944,KENSINGTON-BAILEY NHS,NA (Outside NYC),,36029004200,BUFFALO CITY SD,140600,42.93682486,-78.81710221,ERIE,8,KENSINGTON-BAILEY NHS,1,8,9/19/1991,REHAB,90.32-6-55,26,141,63,188538.85334483878,4760872.11113365
1034 MICHIGAN AVENUE,"1034 MICHIGAN AVE, NIAGARA FALLS, 14305",19940295-00810,0052290,CENTER CITY  NEIGHBORHOOD DEVEL. CORP.,NA (Outside NYC),,36063020500,NIAGARA FALLS CITY SD,400800,43.10495849,-79.0500095,NIAGARA,6,"1034 MICHIGAN AVENUE, L.P.",1,6,5/28/1998,NEW,144.54-1-26,26,145,62,170434.37474090484,4780436.661121766
1035 SOUTH AVENUE PROJECT,"1035 SOUTH AVE, NIAGARA FALLS, 14305",19930115-00632,0046131,CENTER CITY  NEIGHBORHOOD DEVEL. CORP.,NA (Outside NYC),,36063020500,NIAGARA FALLS CITY SD,400800,43.10547561,-79.04985789,NIAGARA,4,"1035 SOUTH AVE., L.P.",1,4,8/10/1995,NEW,144.54-1-25,26,145,62,170449.49208333925,4780493.5000946
1046-1050 HOE AVENUE,"1046 HOE AVE, BRONX, 10459",19980362-00837,0079543,C & C APARTMENT MANAGEMENT LLC,2006112,,36005011900,NYC GEOG DIST # 8 - BRONX,320800,40.82456603,-73.89041502,BRONX,42,360 PRESERVATION LLC,2,21,6/30/1999,REHAB,2-2749-20,14,85,32,593565.6490459626,4519874.8520074
1046-1050 HOE AVENUE,"1050 HOE AVE, BRONX, 10459",19980362-00837,0079544,C & C APARTMENT MANAGEMENT LLC,2006113,,36005011900,NYC GEOG DIST # 8 - BRONX,320800,40.82467509,-73.89042442,BRONX,42,360 PRESERVATION LLC,2,21,6/30/1999,REHAB,2-2749-22,14,85,32,593564.7030842949,4519886.948630413
1078-1082 BEDFORD AVENUE,"1078 BEDFORD AVE, Brooklyn, 11216",19930770-01444,0047486,,3321921,,36047023300,NYC GEOG DIST #13 - BROOKLYN,331300,40.68785357,-73.95495721,KINGS,12,"1078-1082 BEDFORD AVENUE, HDFC",1,12,4/20/2000,REHAB,3-1968-29,8,57,25,588303.7725030335,4504631.828298254
1086 MANHATTAN AVENUE,"1086 MANHATTAN AVE, Brooklyn, 11222",19901020-01238,0001960,NORTH BROOKLYN DEVELOPMENT CORP,3063840,,36047057500,NYC GEOG DIST #14 - BROOKLYN,331400,40.73571849,-73.95499862,KINGS,8,1086 MANHATTAN AVE. HDFC,1,8,6/5/1991,REHAB,3-2496-7,7,50,59,588237.0575002234,4509945.114213327
1103 SALT ROAD APARTMENTS,"1103 SALT RD, WEBSTER, 14580",20010867-00951,0108236,,NA (Outside NYC),,36055011401,WEBSTER CSD,261901,43.1984329,-77.4011329,MONROE,6,HERITAGE CHRISTIAN SERVICES,1,6,11/30/2001,REHAB,95.2-1-4,25,130,55,304914.9121233806,4785649.863319888
111-113 HAMILTON STREET,"111-113 HAMILTON ST, ROCHESTER, 14620",20060070-01464,0147680,PATHSTONE MANAGEMENT CORP.,NA (Outside NYC),,36055003200,ROCHESTER CITY SD,261600,43.1448976,-77.60724035,MONROE,2,SOUTH WEDGE HDFC INC.,1,2,6/3/2007,REHAB,121.55-2-22,25,138,55,287983.32902732503,4780205.620414745
112 WASHINGTON STREET PROJECT,"112 WASHINGTON ST, SARATOGA SPRINGS, 12866",19980080-01150,0079481,"SHELTERS OF SARATOGA, INC",NA (Outside NYC),,36091061202,SARATOGA SPRINGS CITY SD,521800,43.08022505,-73.79165034,SARATOGA,3,"SHELTERS OF SARATOGA, INC.",1,3,7/19/2000,REHAB,165.66-2-80,20,113,44,598362.8561830893,4770432.212820717
11-23 ST. CASIMIR APARTMENTS,"11 ST CASIMIR AVE, YONKERS, 10701",19990990-01074,0125348,"ALL COUNTY MANAGEMENT, LLC",NA (Outside NYC),,36119000502,YONKERS CITY SD,662300,40.93528833,-73.89335041,WESTCHESTER,108,"11-23 ST. CASIMIR AVENUE, L.P.",1,108,9/21/2002,REHAB,2.00-2030-250,16,90,35,593162.7243207503,4532163.024226185
1150 ONTARIO AVENUE PROJECT,"1150 ONTARIO AVE, NIAGARA FALLS, 14305",19920610-00581,0036259,CENTER CITY  NEIGHBORHOOD DEVEL. CORP.,NA (Outside NYC),,36063020400,NIAGARA FALLS CITY SD,400800,43.10883135,-79.04704706,NIAGARA,4,"1150 ONTARIO AVE., L.P.",1,4,12/18/1994,NEW,144.39-1-59,26,145,62,170696.26495554368,4780855.154718191
1150 PLANK ROAD APARTMENTS,"1150 PLANK RD, PENFIELD, 14580",20010872-00952,0108235,,NA (Outside NYC),,36055011506,PENFIELD CSD,261201,43.18253072,-77.44474631,MONROE,6,HERITAGE CHRISTIAN SERVICES,1,6,11/30/2001,REHAB,94.4-1-24.1,25,135,55,301319.70475337876,4783986.430250121
119 CLINTON ST/187 OAK ST,"119 CLINTON ST, BINGHAMTON, 13905",19900930-01228,0001926,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),500-year,36007000200,BINGHAMTON CITY SD,30200,42.10532947,-75.92386776,BROOME,8,"FIRST WARD ACTION COUNCIL, INC.",2,6,1/21/1991,REHAB,160.23-2-3,19,123,52,423613.4371637617,4661883.885670743
119 CLINTON ST/187 OAK ST,"187 OAK ST, BINGHAMTON, 13905",19900930-01228,0001927,"FIRST WARD ACTION COUNCIL, INC.",NA (Outside NYC),500-year,36007000300,BINGHAMTON CITY SD,30200,42.10602478,-75.91776844,BROOME,8,"FIRST WARD ACTION COUNCIL, INC.",2,2,2/21/1991,REHAB,160.24-1-10,19,123,52,424118.5703881472,4661955.6528681675
12 KNOWLES ST. AND 97 BRUCE AVE,"97 BRUCE AVE, YONKERS, 10705",19970585-00935,0039676,WESTHAB INC.,NA (Outside NYC),,36119001305,YONKERS CITY SD,662300,40.91411097,-73.8961804,WESTCHESTER,24,WESTHAB BRUCE KNOWLES LP,2,12,8/12/1999,NEW,1.00-30-9.12,16,89,35,592954.1512490343,4529809.092861954
12 KNOWLES ST. AND 97 BRUCE AVE,"12 KNOWLES ST, YONKERS, 10705",19970585-00935,0066516,WESTHAB INC.,NA (Outside NYC),,36119000103,YONKERS CITY SD,662300,40.92448934,-73.90139529,WESTCHESTER,24,WESTHAB BRUCE KNOWLES LP,2,12,12/29/1999,NEW,1.00-169-15,16,89,35,592500.5192565417,4530955.6760750245
120 GERRY STREET HDFC,"106 GERRY ST, Brooklyn, 11206",19980426-00948,0079835,ST NICKS ALLIANCE,3061454,,36047050700,NYC GEOG DIST #14 - BROOKLYN,331400,40.702141,-73.945739,KINGS,46,JOE GERRY SNA LLC,1,46,10/12/2001,NEW,3-2270-1,7,53,18,589063.6735637116,4506227.129358452
1212 MLK APARTMENTS,"1212 DR ML KING JR BLVD, BRONX, 10452",20040539-01412,0129039,"CONCORD MANAGEMENT OF NY, LLC",2116375,,36005019900,NYC GEOG DIST # 9 - BRONX,320900,40.83813057,-73.92722686,BRONX,54,"1212 MLK, L.P.",1,54,6/22/2006,NEW,2-2528-11,15,77,29,590443.0036836558,4521341.986052055
128 GRAND AVENUE PROJECT,"128 GRAND AVE, SARATOGA SPRINGS, 12866",20020555-01532,0134478,"SHELTERS OF SARATOGA, INC",NA (Outside NYC),,36091061202,SARATOGA SPRINGS CITY SD,521800,43.07953503,-73.79217987,SARATOGA,4,"SHELTERS OF SARATOGA, INC.",1,4,9/25/2006,REHAB,165.66-2-107,20,113,44,598320.8540770507,4770354.9641487785
134 WEST 113TH STREET,"134 W 113TH ST, NEW YORK, 10026",19920611-01263,0040219,"134 WEST 113TH STREET, HDFC",1054997,,36061021600,NYC GEOG DIST # 3 - MANHATTAN,310300,40.80079212,-73.95300006,NEW YORK,11,"134 WEST 113TH STREET, HDFC",1,11,4/22/1999,REHAB,1-1822-54,13,70,30,588319.6057675229,4517170.804029401
1374 BOSTON ROAD,"1374 BOSTON RD, BRONX, 10456",19950673-00716,0061017,NEW START GROUP INC.,2010187,,36005015100,NYC GEOG DIST #12 - BRONX,321200,40.832314,-73.898085,BRONX,14,"1374 BOSTON ROAD, L.P.",1,14,11/30/1997,REHAB,2-2962-9,15,79,32,592908.0508635559,4520726.7867039265
1437 SHAKESPEARE,"1437 SHAKESPEARE AVE, BRONX, 10452",19930801-00711,0048694,HIGHBRIDGE COMMUNITY DEVELOPMENT,2008732,,36005021302,NYC GEOG DIST # 9 - BRONX,320900,40.84290677,-73.92071592,BRONX,28,SHAKESPEARE ASSOCIATES LP,1,28,12/31/1996,REHAB,2-2873-54,15,77,29,590985.4032368824,4521878.930807842
146 JEWETT AVENUE,"146 JEWETT AVE, BUFFALO, 14214",19900318-01156,0000044,"FILMORE LEROY AREA RESIDENTS, INC.",NA (Outside NYC),,36029004003,BUFFALO CITY SD,140600,42.93392428,-78.83875635,ERIE,8,"FILLMORE LEROY AREA RESIDENTS, INC",1,8,8/11/1988,REHAB,89.44-5-30,26,141,63,186757.04119052237,4760630.499035293
1527 LINCOLN PLACE HOMESTEADING,"1527 LINCOLN PL, Brooklyn, 11213",19900915-01226,0002528,UHAB,3037183,,36047035701,NYC GEOG DIST #17 - BROOKLYN,331700,40.66956895,-73.92606946,KINGS,9,"1527 LINCOLN PLACE, HDFC",1,9,10/29/1990,REHAB,3-1386-53,9,55,20,590769.5661775501,4502631.5514343195
1544 PARK PLACE,"1544 PARK PL, Brooklyn, 11213",19940936-00735,0053214,FELICIA COLON,3036609,,36047034700,NYC GEOG DIST #17 - BROOKLYN,331700,40.671842,-73.926157,KINGS,34,"1544 PARK ASSOCIATES, L.P.",1,34,6/26/1996,REHAB,3-1374-33,9,55,20,590759.0847498424,4502883.783476552
1561 WALTON AVENUE,"1561 WALTON AVE, BRONX, 10452",20136037-02093,0233008,WAVECREST MANAGEMENT,2128647,,36005020900,NYC GEOG DIST # 9 - BRONX,320900,40.84306109,-73.9136426,BRONX,60,1561 ASSOCIATES LLC,1,60,11/14/2017,NEW,2-2845-47,15,77,32,591581.4936171514,4521903.432703699
