Address,Assembly District (current),BIN (NYC DOB),Building ID,Congressional District (current),County,Floodplain,Housing Company name,HID,Latitude,Longitude,Management Email,Management Name,Management Phone,BBL / Parcel ID,School district name,School district SDL code,State Senate District (current),Status,Total project units,Tract GEOID '20,x,y
"3835 Sedgwick Ave, Bronx, 10463-4444",81,2092475,00002,13,Bronx,,Park Reservoir Apartments,H002,40.88271045,-73.89530692,czsebedics@amalgamatedparkres.coop ,Park Reservoir Housing Co.,(718) 796-9300,2032630235,NYC GEOG DIST #10 - BRONX,321000,31,Active,275,36005027900,-8225988.096799998,4995058.065700009
"3845 Sedgwick Ave, Bronx, 10463-4444",81,2092475,00003,13,Bronx,,Park Reservoir Apartments,H002,40.88283775,-73.89525393,czsebedics@amalgamatedparkres.coop ,Park Reservoir Housing Co.,(718) 796-9300,2032630235,NYC GEOG DIST #10 - BRONX,321000,31,Active,275,36005027900,-8225982.198000001,4995076.809200004
"3915 Orloff Ave, Bronx, 10463-2622",81,2016020,00004,13,Bronx,,Park Reservoir Apartments,H002,40.88400544,-73.89434624,czsebedics@amalgamatedparkres.coop ,Park Reservoir Housing Co.,(718) 796-9300,2032630067,NYC GEOG DIST #10 - BRONX,321000,31,Active,275,36005027900,-8225881.1544,4995248.739500001
"4260 Katonah Ave, Bronx, 10470",81,2019336,00001,15,Bronx,,Woodlawn Apartments,H003,40.8970723,-73.86690696,Cchen@prestigemgt.com ,"Prestige Management, Inc.",(646) 617-6935,2033830001,NYC GEOG DIST #11 - BRONX,321100,36,Active,100,36005045101,-8222826.626799999,4997172.9070999995
"74 Van Cortlandt Park S, Bronx, 10463-3003",81,2015455,00006,13,Bronx,,Amalgamated Houses,H003C,40.88451087,-73.88945506,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520143,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225336.670499995,4995323.159800008
"80 Van Cortlandt Park S, Bronx, 10463-3003",81,2015473,00007,13,Bronx,,Amalgamated Houses,H003C,40.88469609,-73.89041525,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520209,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225443.558400001,4995350.432000011
"100 Van Cortlandt Park S, Bronx, 10463-3003",81,2015496,00009,13,Bronx,,Amalgamated Houses,H003C,40.88500819,-73.89206489,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520361,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225627.195599996,4995396.386500001
"3989 Hillman Ave, Bronx, 10463-3003",81,2092447,00010,13,Bronx,,Amalgamated Houses,H003C,40.88353156,-73.89088498,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520237,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225495.848499997,4995178.9651999995
"3975 Sedgwick Ave, Bronx, 10463-3109",81,2095200,0001A,15,Bronx,,Amalgamated Houses,H003C,40.88347152,-73.88879799,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520052,NYC GEOG DIST #10 - BRONX,321000,33,Active,1486,36005028100,-8225263.525799999,4995170.124899998
"3965 Sedgwick Ave, Bronx, 10463-3035",81,2095200,0001B,15,Bronx,,Amalgamated Houses,H003C,40.88293814,-73.88945937,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520052,NYC GEOG DIST #10 - BRONX,321000,33,Active,1486,36005028100,-8225337.1503,4995091.590500005
"120 Gale Pl, Bronx, 10463-3035",81,2015493,0008A,13,Bronx,,Amalgamated Houses,H003C,40.88481761,-73.89324762,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520340,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225758.856500002,4995368.324900009
"124 Gale Pl, Bronx, 10463-3035",81,2015493,0008B,13,Bronx,,Amalgamated Houses,H003C,40.88498297,-73.89329948,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520340,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225764.629499998,4995392.673
"130 Gale Pl, Bronx, 10463-3035",81,2015493,0008C,13,Bronx,,Amalgamated Houses,H003C,40.88512017,-73.89316689,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520340,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225749.8697,4995412.874800004
"4022 Hillman Ave, Bronx, 10463-2831",81,2015455,0011A,13,Bronx,,Amalgamated Houses,H003C,40.88447916,-73.88985772,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520143,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225381.494399998,4995318.490800008
"4016 Hillman Ave, Bronx, 10463-2831",81,2015454,0011B,13,Bronx,,Amalgamated Houses,H003C,40.88410147,-73.89008919,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520135,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225407.261600001,4995262.879100002
"4010 Hillman Ave, Bronx, 10463-2831",81,2015454,0011C,13,Bronx,,Amalgamated Houses,H003C,40.88396353,-73.89016777,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520135,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225416.009100001,4995242.568600006
"3960 Hillman Ave, Bronx, 10463-3105",81,2015450,0012A,13,Bronx,,Amalgamated Houses,H003C,40.88276056,-73.89118044,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520117,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225528.738999998,4995065.4439000115
"3970 Hillman Ave, Bronx, 10463-3105",81,2015450,0012B,13,Bronx,,Amalgamated Houses,H003C,40.88302988,-73.89097297,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520117,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225505.643500002,4995105.098100007
"3980 Hillman Ave, Bronx, 10463-3105",81,2015450,0012C,13,Bronx,,Amalgamated Houses,H003C,40.88330698,-73.89075718,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520117,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225481.621899996,4995145.898100004
"3980 Orloff Ave, Bronx, 10463",81,2015481,0013A,13,Bronx,,Amalgamated Houses,H003C,40.88430596,-73.89218249,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520276,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225640.286699999,4995292.9885000065
"3985 Governeur Ave, Bronx, 10463-3038",81,,0013B,13,Bronx,,Amalgamated Houses,H003C,40.88390329,-73.89173608,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520276,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225590.592599995,4995233.698800005
"92 Van Cortlandt Park S, Bronx, 10463-3003",81,2015482,0014A,13,Bronx,,Amalgamated Houses,H003C,40.88483892,-73.89124401,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520287,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225535.815599998,4995371.462700002
"98 Van Cortlandt Park S, Bronx, 10463-3003",81,2015482,0014B,13,Bronx,,Amalgamated Houses,H003C,40.88483921,-73.8912357,czsebedics@amalgamatedparkres.coop ,Amalgamated Housing Corp.,(718) 796-9300,2032520287,NYC GEOG DIST #10 - BRONX,321000,31,Active,1486,36005028100,-8225534.890500002,4995371.505400002
"645 Norris Dr, Rochester, 14610-2405",138,,00001,25,Monroe,,"Plymouth Gardens, Inc.",H004,43.14144369,-77.57230694,gkey@rochestermanagement.com ,"Rochester Management, Inc.",(585) 467-2442,,ROCHESTER CITY SD,261600,55,Active,60,36055007802,-8635310.015600001,5333527.167800002
"645 Norris Dr, Rochester, 14610-2405",138,,00002,25,Monroe,,"Plymouth Gardens, Inc.",H004,43.1416326,-77.57153406,gkey@rochestermanagement.com ,"Rochester Management, Inc.",(585) 467-2442,,ROCHESTER CITY SD,261600,55,Active,60,36055007802,-8635223.979,5333555.988300003
"645 Norris Dr, Rochester, 14610-2405",138,,00003,25,Monroe,,"Plymouth Gardens, Inc.",H004,43.141362,-77.57149017,gkey@rochestermanagement.com ,"Rochester Management, Inc.",(585) 467-2442,,ROCHESTER CITY SD,261600,55,Active,60,36055007802,-8635219.093199998,5333514.704999998
"645 Norris Dr, Rochester, 14610-2405",138,,00004,25,Monroe,,"Plymouth Gardens, Inc.",H004,43.14103824,-77.57169132,gkey@rochestermanagement.com ,"Rochester Management, Inc.",(585) 467-2442,,ROCHESTER CITY SD,261600,55,Active,60,36055007802,-8635241.485100001,5333465.311700001
"645 Norris Dr, Rochester, 14610-2405",138,,00005,25,Monroe,,"Plymouth Gardens, Inc.",H004,43.14084822,-77.57230148,gkey@rochestermanagement.com ,"Rochester Management, Inc.",(585) 467-2442,,ROCHESTER CITY SD,261600,55,Active,60,36055007802,-8635309.407799998,5333436.322200008
"645 Norris Dr, Rochester, 14610-2405",138,,00006,25,Monroe,,"Plymouth Gardens, Inc.",H004,43.14067775,-77.57310115,gkey@rochestermanagement.com ,"Rochester Management, Inc.",(585) 467-2442,,ROCHESTER CITY SD,261600,55,Active,60,36055007802,-8635398.426699998,5333410.315200008
"3850 Bronx Blvd, Bronx, 10467-5201",83,,03856,15,Bronx,,Parkside Development Co.,H005,40.88636105,-73.86545319,Shirley875@optonline.net ,"World Class Management, Inc.",(718) 239-7145,,NYC GEOG DIST #11 - BRONX,321100,36,Active,167,36005039400,-8222664.7937,4995595.588200003
"1407 Linden Blvd, Brooklyn, 11212-5154",58,3326604,00001,8,Kings,,Earl W. Jimerson Hsg. Co.,H006,40.65576964,-73.908222,mblakes@marionscott.com ,"Marion Scott Real Estate, Inc.",(718) 662-0151,3036340001,NYC GEOG DIST #23 - BROOKLYN,332300,19,Active,423,36047092200,-8227425.7959,4961700.79810001
"1415 Linden Blvd, Brooklyn, 11212-5154",58,3342483,00002,8,Kings,,Earl W. Jimerson Hsg. Co.,H006,40.65550144,-73.90764378,mblakes@marionscott.com ,"Marion Scott Real Estate, Inc.",(718) 662-0151,3036340001,NYC GEOG DIST #23 - BROOKLYN,332300,19,Active,423,36047092200,-8227361.4287,4961661.443600006
