Assembly District (current),City,Company Name,Congressional District (current),County,HID,Management,Number of buildings in project,Project status,School district name,School district SDL code,State Senate District (current),Street Address,Total units in project,Type,Zip,x,y
81,Bronx,Park Reservoir Apts.,13,Bronx,H002,Park Reservoir Housing Co,3,Active,NYC GEOG DIST #10 - BRONX,321000,31,3845 Sedgwick Avenue,275,COOP,10463,,
81,Bronx,Woodlawn Apts.,15,Bronx,H003,"Prestige Management, Inc.",1,Active,NYC GEOG DIST #11 - BRONX,321100,36,4260 Katonah Avenue,100,COOP,10470,,
81,Bronx,Amalgamated Houses,13,Bronx,H003C,Amalgamated Housing Corp.,11,Active,NYC GEOG DIST #10 - BRONX,321000,31,98 Van Cortland Park S.,1486,COOP,10463,,
138,Rochester,Plymouth (Cobbs Hill Apt.),25,Monroe,H004,"Rochester Management, Inc",6,Active,ROCHESTER CITY SD,261600,55,645 Norris Drive,60,RENT,14610,,
83,Bronx,Parkside Apartments,15,Bronx,H005,World Class Management Inc.,1,Active,NYC GEOG DIST #11 - BRONX,321100,36,3856 Bronx Boulevard,167,COOP,10467,,
58,Brooklyn,Jimerson Apartments,8,Kings,H006,"Marion Scott Real Estate,  Inc.",3,Active,NYC GEOG DIST #23 - BROOKLYN,332300,19,1407 Linden Boulevard,423,COOP,11212,,
89,Yonkers,Sunset Green Apts.,16,Westchester,H007,"Metro Management Development, Inc.",1,Active,YONKERS CITY SD,662300,35,159 Hawthorne Avenue,70,COOP,10705,,
43,Brooklyn,Mutual Apartments,9,Kings,H008,"Prestige Management, Inc.",1,Active,NYC GEOG DIST #17 - BROOKLYN,331700,20,636 Brooklyn Avenue,160,COOP,11203,,
65,New York,Knickerbocker Village,10,New York,H009,Cherry Green Property Corp.,12,Active,NYC GEOG DIST # 2 - MANHATTAN,310200,27,10 Monroe Street,1589,RENT,10002,,
72,New York,Inwood Terrace,13,New York,H012,"Metro Management Development, Inc.",1,Active,NYC GEOG DIST # 6 - MANHATTAN,310600,31,99 Hillside Avenue,205,COOP,10040,,
72,New York,Inwood Heights,13,New York,H013,"FirstService Residential New York, Inc.",1,Active,NYC GEOG DIST # 6 - MANHATTAN,310600,31,17 Fort George Hill,207,COOP,10040,,
91,Port Chester,Park Regent Apts.,16,Westchester,H015,Century 21 Rosabella Realty,2,Active,PORT CHESTER-RYE UFSD,661904,37,340 South Regent Street,90,COOP,10573,,
27,Flushing,Electchester 1st Houses,6,Queens,H015A,Electchester Management LLC,7,Active,NYC GEOG DIST #25 - QUEENS,342500,16,161-04 Harry Van Arsdale,382,COOP,11365,,
27,Flushing,Electchester 2nd Houses,6,Queens,H015B,Electchester Management LLC,12,Active,NYC GEOG DIST #25 - QUEENS,342500,16,161-29 Harry Van Arsdale,688,COOP,11365,,
27,Flushing,Electchester 3rd Houses,6,Queens,H015C,Electchester Management LLC,12,Active,NYC GEOG DIST #25 - QUEENS,342500,16,65-52 160th Street,792,COOP,11365,,
27,Flushing,Electchester 4th Houses,6,Queens,H015E,Electchester Management LLC,5,Active,NYC GEOG DIST #25 - QUEENS,342500,16,65-94 162th Street,362,COOP,11365,,
136,Rochester,Plymouth (Seth Green Pk.),25,Monroe,H016,"Rochester Management, Inc",6,Active,ROCHESTER CITY SD,261600,56,Seth Green Dr./St.Paul St,74,RENT,14621,,
43,Brooklyn,Harry Silver Apts.,9,Kings,H018,"Marion Scott Real Estate,  Inc.",6,Active,NYC GEOG DIST #17 - BROOKLYN,331700,20,828 Midwood Street,288,COOP,11203,,
