Property Name,Contract No.,Address,County,Agent name,Owner name,NYC flag,BIN (NYC DOB),BBL / Parcel ID,State Senate District (current),Assembly District (current),Congressional District (current),Tract GEOID (2020 Census),Floodplain flag,School district name,School district SDL code,latitude,longitude,Property Code,x,y
Ken-Ton Presbyterian Village,NY062124201,"3735 Delaware Ave, Tonawanda, 14150",Erie,"Beechwood Continuing Care, Inc","Ken-Ton Presbyterian Village Housing Development Fund Company, Inc.",ROS,,,61,140,26,36029008101,,KENMORE-TONAWANDA UFSD,142601,42.98580531,-78.8725164,800000040,184267.73030141438,4766519.185716581
Lancaster Towers,NY06L000015,"1 Pleasant Ave. West, Lancaster, 14086",Erie,"Benchmark Management of New York, Inc.",Benchmark Lancaster Towers LP,ROS,,,60,143,23,36029014400,,LANCASTER CSD,141901,42.90303949,-78.67064438,800000042,200326.54509357992,4756587.047890758
Lancaster Towers,NY06M000043,"1 Pleasant Ave. West, Lancaster, 14086",Erie,"Benchmark Management of New York, Inc.",Benchmark Lancaster Towers LP,ROS,,,60,143,23,36029014400,,LANCASTER CSD,141901,42.90303949,-78.67064438,800000042,200326.54509357992,4756587.047890758
Wolcott Estates,NY06T851010,"5770 New Hartford St, Wolcott, 14590",Wayne,Wayne County Rural Development Corp Inc,"C.A.S.H. of Wolcott Housing Development Fund Co.,",ROS,,,54,130,24,36117021600,,NORTH ROSE-WOLCOTT CSD,651501,43.2115074,-76.8129248,800000079,352737.7719077227,4785898.243501751
AHRC Housing,NY36T791053,"2710 Kingsland Ave, Bronx, 10469",Bronx,"New York City Association for the Help of Retarded Children Development Company, Inc.","New York City Association for the Help of Retarded Children Development Company, Inc.",NYC,2054704,2045380009,36,80,14,36005036000,,NYC GEOG DIST #11 - BRONX,321100,40.86560504,-73.83863615,800014732,597871.5813903296,4524487.16255304
Ashley Arms,NY06E000003,"1818 South Salina St, Syracuse, 13205",Onondaga,"Housing Visions Consultants, Inc",Housing Portfolio Unlimited,ROS,,,48,128,22,36067005400,,SYRACUSE CITY SD,421800,43.02825125,-76.14684783,800014734,406564.7216446222,4764590.183974104
Aspen Tower,NY06H108005,"350 Front St, Olean, 14760",Cattaraugus,Aspen Associates,Aspen Associates,ROS,,,57,148,23,36009961800,,OLEAN CITY SD,42400,42.08222038,-78.420741,800014735,217050.00009249285,4664569.504893259
Abbey Residences,NY06T801004,"824 Pre-Emption Rd, Geneva, 14456",Ontario,Ontario County ARC,Abbey Residences Inc,ROS,,,54,131,24,36069051502,,GENEVA CITY SD,430700,42.8605208,-77.01235082,800014736,335603.4997374616,4747290.248337375
Abbott Road Residence,NY06T851017,"1135 Abbott Rd, Buffalo, 14220",Erie,Aspire of Western New York Inc,"UCP Developments, Inc",ROS,,,63,142,26,36029000700,,BUFFALO CITY SD,140600,42.83344988,-78.80614221,800014737,188913.43506686052,4749350.245075865
100 Chenango Place f.k.a. ABC Towers,NY02L000019,"100 Chenango St, Binghamton, 13901",Broome,CRM Rental Management Inc,100 Chenango Place,ROS,,,52,123,19,36007001200,,BINGHAMTON CITY SD,30200,42.10171087,-75.90918733,800014738,424822.9693522955,4661469.084334593
Abby Towers,NY36T861039,"50 W 131 St, New York, 10037",New York,Prestige Management Inc,Abby Towers Apartments LP,NYC,1053805,1017280057,30,70,13,36061020800,,NYC GEOG DIST # 5 - MANHATTAN,310500,40.81104248,-73.94185204,800014739,589246.2774350112,4518319.971542918
Academy Arms Apts,NY06T841002,"33 Academy St, Oneonta, 13820",Otsego,City of Oneonta Housing Authority,"Academy Arms Housing Dev. Fund Comp, Inc.",ROS,,,51,122,19,36077591100,,ONEONTA CITY SD,471400,42.45215148,-75.06543937,800014740,494619.00224632176,4699982.144895185
Academy Gardens,NY36H110082,"510 Rosedale Ave, Bronx, 10473",Bronx,Winn Management Company LLC,Rosedale Gardens NY LLC,NYC,2021305,2035190005,34,85,14,36005002002,,NYC GEOG DIST # 8 - BRONX,320800,40.81496493,-73.86514707,800014741,595710.208466278,4518836.32826145
Access House,NY36T841009,"220 E 7th St, New York, 10009",New York,Community Access,Access House Inc,NYC,1004683,1003890028,27,74,10,36061002602,500-year,NYC GEOG DIST # 1 - MANHATTAN,310100,40.72424218,-73.979507,800014742,586182.4104972538,4508646.819750289
Addison Place Apts,NY06R000003,"43 William St, Addison, 14801",Steuben,NDC Real Estate Management  LLC,Addison Place Associates,ROS,,,58,132,23,36101962200,,ADDISON CSD,570101,42.09990677,-77.23698275,800014743,315023.6464925385,4663290.405597473
Adirondack Apartments,NY06R000031,"225 Lake Street, Saranac Lake, 12983",Franklin,Innovative Property Management Services LLC,"VOA Adirondack Affordable Housing, LLC.",ROS,,,45,115,21,36033950900,,SARANAC LAKE CSD,161401,44.32260439,-74.14205987,800014744,568410.8525930076,4908062.693440745
Ahepa 37 Apts,NY06T881010,"100 Ahepa Circle, Syracuse, 13215",Onondaga,AHEPA Affordable Housing Management,Ahepa 37 Inc,ROS,,,48,128,22,36067016300,,WESTHILL CSD,420701,43.01412212,-76.1966144,800014745,402487.76889531786,4763077.726300787
Ahi Ezer Apartments,NY360769201,"1960 E 7th St, Brooklyn, 11223",Kings,Ahi Ezer Kings Highway Housing Development Fund Co,Ahi Ezer Kings Highway Housing Development Fund Co,NYC,3178703,3066820045,22,45,9,36047041800,,NYC GEOG DIST #21 - BROOKLYN,332100,40.60284686,-73.9651551,800014747,587553.0863441038,4495185.424914637
Ahi Ezer Plaza,NY36T841020,"530 Kings Hwy, Brooklyn, 11223",Kings,Ahi Ezer Kings Highway Housing Development Fund Co,Ahi Ezer Kings Highway Housing Development Fund Co,NYC,3178594,3066810225,22,45,9,36047041402,,NYC GEOG DIST #21 - BROOKLYN,332100,40.604213,-73.969695,800014748,587167.2065662149,4495332.567172306
