HsngAuthty,ORSA_Addr,ProjName,TenType,PrType,TotPrjUnts,UntsPerBld,x,y
Buffalo Housing Authority,"205 Marine Dr, Buffalo, NY, 14228",Marine Drive Apartments,Family,Rental,,88,-8770615.633930178,5316386.985094878
Buffalo Housing Authority,"79 Marine Dr, Buffalo, NY, 14228",Marine Drive Apartments,Family,Rental,,88,-8771098.800739849,5316251.783919398
Buffalo Housing Authority,"7 Marine Dr, Buffalo, NY, 14202",Marine Drive Apartments,Family,Rental,616,88,-8780992.619490767,5293750.915685415
Buffalo Housing Authority,"31 Marine Dr, Buffalo, NY, 14202",Marine Drive Apartments,Family,Rental,,88,-8781041.487604706,5293656.835630929
Buffalo Housing Authority,"47 Marine Dr, Buffalo, NY, 14202",Marine Drive Apartments,Family,Rental,,88,-8780670.596517311,5293353.9295832
Buffalo Housing Authority,"161 Marine Dr, Buffalo, NY, 14202",Marine Drive Apartments,Family,Rental,,88,-8780924.359491434,5293523.072789039
Buffalo Housing Authority,"147 Marine Dr, Buffalo, NY, 14202",Marine Drive Apartments,Family,Rental,,88,-8780904.110354885,5293468.790745662
Greenburgh Housing Authority,"1 Maple St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,131,14,-8214731.8592996355,5019606.351020741
Greenburgh Housing Authority,"3 Maple St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,24,-8214738.356947628,5019569.8677620655
Greenburgh Housing Authority,"5 Maple St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,14,-8214738.964776973,5019566.319250079
Greenburgh Housing Authority,"7 Maple St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,7,-8214742.206398268,5019547.031144282
Greenburgh Housing Authority,"1 Oak St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,15,-8214889.324054916,5019267.857397739
Greenburgh Housing Authority,"3 Oak St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,9,-8214891.65399601,5019268.004964526
Greenburgh Housing Authority,"1 Beech St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,6,-8214671.377109139,5019388.808619739
Greenburgh Housing Authority,"3 Beech St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,11,-8214745.641710045,5019494.010090427
Greenburgh Housing Authority,"2 Oak St, White Plains, NY, 10603",Greenburgh Housing,Family,Rental,,14,-8211275.910026894,5020631.622510652
Greenburgh Housing Authority,"2 Beech St, White Plains, NY, 10604",Greenburgh Housing,Family,Rental,,17,-8211147.3270051945,5018653.897906621
Kingston Housing Authority,"195 Albany Ave, Kingston, NY, 12401",Wiltwyck Gardens,Senior,Rental,60,10,-8238508.829703518,5151139.010089389
Kingston Housing Authority,"195 Albany Ave, Kingston, NY, 12401",Wiltwyck Gardens,Senior,Rental,,10,-8238504.084038842,5151143.876025961
Kingston Housing Authority,"195 Albany Ave, Kingston, NY, 12401",Wiltwyck Gardens,Senior,Rental,,10,-8238498.247967508,5151150.868726966
Kingston Housing Authority,"195 Albany Ave, Kingston, NY, 12401",Wiltwyck Gardens,Senior,Rental,,16,-8238483.976383612,5151168.461402312
Kingston Housing Authority,"195 Albany Ave, Kingston, NY, 12401",Wiltwyck Gardens,Senior,Rental,,14,-8238491.314213524,5151160.630183622
Kingston Housing Authority,"2 Penn Ct, Kingston, NY, 12401",Colonial Gardens Addition,Senior,Rental,32,20,-8236700.686158272,5151895.962731264
Kingston Housing Authority,"42 Penn Ct, Kingston, NY, 12401",Colonial Gardens Addition,Senior,Rental,,12,-8236704.131495804,5151968.855804822
Kingston Housing Authority,"2 Colonial Dr, Kingston, NY, 12401",Colonial Gardens,Family,Rental,98,20,-8236875.217313659,5151911.522020765
Kingston Housing Authority,"42 Colonial Dr, Kingston, NY, 12401",Colonial Gardens,Family,Rental,,20,-8236837.428816372,5151832.6673873225
Kingston Housing Authority,"82 Colonial Dr, Kingston, NY, 12401",Colonial Gardens,Family,Rental,,33,-8236833.257711417,5151928.44178133
Kingston Housing Authority,"150 Colonial Dr, Kingston, NY, 12401",Colonial Gardens,Family,Rental,,25,-8236862.681692199,5152004.380578623
Little Falls Housing Authority,"550 John St, Little Falls, NY, 13365",Clarence W. Hotaling,Senior,Rental,64,64,-8333052.421619428,5318469.622317142
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,48,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts,Family,Rental,,0,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts Add,Family,Rental,48,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts Add,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts Add,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts Add,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts Add,Family,Rental,,8,-8332662.954747671,5320266.751414146
Little Falls Housing Authority,"760 E Monroe St, Little Falls, NY, 13365",Valley View Courts Add,Family,Rental,,8,-8332662.954747671,5320266.751414146
Nyack Housing Authority,"20 Pine St, Nyack, NY, 10960",Waldron Terrace,Family,Rental,88,10,-8230710.221327443,5025899.338961213
Nyack Housing Authority,"1 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,14,-8230638.490313516,5025925.626205371
Nyack Housing Authority,"16 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,4,-8230694.139019796,5026000.314134313
Nyack Housing Authority,"20 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,6,-8230695.587333633,5025955.625341846
Nyack Housing Authority,"26 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,4,-8230745.707785865,5025963.651744793
Nyack Housing Authority,"30 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,8,-8230747.730476928,5026010.988879894
Nyack Housing Authority,"38 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,12,-8230643.21140059,5026006.173609128
Nyack Housing Authority,"44 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,12,-8230749.833242073,5026150.323856223
Nyack Housing Authority,"56 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,10,-8230662.704538782,5026143.923687904
Nyack Housing Authority,"66 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,8,-8230632.191934765,5025953.937120529
Nyack Housing Authority,"15 Highview Ct, Nyack, NY, 10960",Waldron Terrace,Family,Rental,,0,-8230695.709718468,5026043.385681249
Nyack Housing Authority,"62 Depew Ave, Nyack, NY, 10960",Depew Manor,Senior,Rental,48,24,-8228702.3321472,5025548.868963602
Nyack Housing Authority,"74 Depew Ave, Nyack, NY, 10960",Depew Manor,Senior,Rental,,24,-8228785.167173806,5025572.038711913
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,100,9,-8764835.866268463,5184964.988644778
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,,8,-8764835.866268463,5184964.988644778
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,,9,-8764835.866268463,5184964.988644778
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,,7,-8764835.866268463,5184964.988644778
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,,8,-8764835.866268463,5184964.988644778
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,,8,-8764835.866268463,5184964.988644778
Salamanca Housing Authority,"69 Iroquois Dr, Salamanca, NY, 14779",Hillview Homes,Family,Rental,,8,-8764835.866268463,5184964.988644778
